ï»¿faction_id|id|name|cost|detachment|detachment_id|legend|description|
AC|000008921002|Aegis Projector|20|Talons Of The Emperor|000000861|This archeotech field projector triggers in response to autopremonitory danger input. It pulse-casts a temporary force field that can stave off even the most powerful attacks, before charging ready for another use.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. Once per turn, the first time a <span class="tooltip00032" data-tooltip-content="#tooltip_content00032"><span class="tt kwbu">saving</span> <span class="tt kwbu">throw</span></span> is failed for the bearerâs unit, change the Damage characteristic of that attack to 0.|
AC|000009753002|Adamantine Talisman|25|Solar Spearhead|000000986|This amulet contains a reservoir of promethium harvested from the wreckage of one of the Adeptus Custodesâ most ancient Land Raiders. The fluid is said to possess the last lingering traces of that ancient vehicleâs bellicose machine spirit, inspiring greater might and ferocity within its bearer.|<span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> model only. Improve the Attacks, Strength and Damage characteristics of melee weapons equipped by the bearer by 1.|
AC|000008395002|Auric Mantle|15|Shield Host|000000765|This auramite weave garment is draped about its wearers shoulders before they don their battle armour. It forms a final, incredibly resilient layer of protection for them should all their other defences fail.|<span class="tooltip00492" data-tooltip-content="#tooltip_content00492" data-tooltip-anchor="#tooltip_content00492"><span class="kwb kwbu">SHIELD-CAPTAIN</span></span> or <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Blade-Champion"><span class="kwb kwbo">BLADE</span> <span class="kwb kwbo">CHAMPION</span></a> model only. Add 2 to the bearerâs Wounds characteristic.|
AC|000008930002|Blade Imperator|25|Auric Champions|000000863|This warrior is the Emperors own wrath made manifest, the living weapon of the Master of Mankind.|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. Each time the bearerâs unit ends a <span class="tooltip00033" data-tooltip-content="#tooltip_content00033"><span class="tt kwbu">Charge</span> <span class="tt kwbu">move</span></span>, select one enemy unit within <span class="tooltip00023" data-tooltip-content="#tooltip_content00023"><span class="tt kwbu">Engagement</span> <span class="tt kwbu">Range</span></span> of the bearer and roll one D6: on a 4+, that enemy unit suffers D3 <span class="tooltip00049" data-tooltip-content="#tooltip_content00049"><span class="tt kwbu">mortal</span> <span class="tt kwbu">wounds</span></span>. Once per battle, after the bearer s unit ends a Charge move, all enemy units within 6" of the bearer must take a <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shock</span> <span class="tt kwbu">test</span></span>.|
AC|000008926002|Enhanced Voidsheen Cloak|10|Null Maiden Vigil|000000862|Now rare, enhanced voidsheen cloaks were worn by commanders of the Sisters of Silence during the Great Crusade. They are made from micro-vitrious mesh designed to diffract and absorb attacks, and include inbuilt refractor fields.|<span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. Each time an attack is allocated to the bearer, subtract 1 from the Damage characteristic of that attack. If that attack was made by a <span class="kwb">PSYKER</span> or <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shocked</span></span> model, change the Damage characteristic of that attack to 1 instead.|
AC|000009987002|Superior Creation|25|Lions of the Emperor|000001029|The cellular alchemy by which this heroic warrior was forged has rendered them breathtakingly resilient.|<span class="tooltip00256" data-tooltip-content="#tooltip_content00256" data-tooltip-anchor="#tooltip_content00256"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span> <span class="kwb kwbu">INFANTRY</span></span> model only. The first time the bearer is destroyed, roll one D6 at the end of the phase. On a 2+, set the bearer back up on the battlefield, as close as possible to where it was destroyed and not within <span class="tooltip00023" data-tooltip-content="#tooltip_content00023"><span class="tt kwbu">Engagement</span> <span class="tt kwbu">Range</span></span> of one or more enemy units, with its full wounds remaining.|
AC|000009264002|Voidstrider|0|Voyagers in Darkness|000000909|At home in voidborne warfare, this superhuman warrior is able to move with marked purpose and speed.|Add 2" to the bearerâs Move characteristic.|
AC|000009273002|The Vratine Aquila (Aura)|0|Black Ship Guardians|000000910|This ancient device is said to have been crafted for use during a vital conclave during the waning days of the Great Crusade, wreathing its bearer in energy veils.|<span class="tooltip00494" data-tooltip-content="#tooltip_content00494" data-tooltip-anchor="#tooltip_content00494"><span class="kwb kwbu">ANATHEMA</span> <span class="kwb kwbu">PSYKANA</span></span> model only. While a friendly <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit is within 3" of the bearer, models in that unit have a 4+ <span class="tooltip00051" data-tooltip-content="#tooltip_content00051"><span class="tt kwbu">invulnerable</span> <span class="tt kwbu">save</span></span>.|
AC|000009264003|Mantle of the Emissary|0|Voyagers in Darkness|000000909|This ancient cloak symbolises its wearerâs dedication to a vision-sent mission from the Emperor, and fills them with overwhelming purpose and determination.|The bearer has an Objective Control characteristic of 5.|
AC|000008930003|Inspirational Exemplar|10|Auric Champions|000000863|Here is a singular being even the mighty Custodians can look up to and be inspired by|<span class="tooltip00491" data-tooltip-content="#tooltip_content00491" data-tooltip-anchor="#tooltip_content00491"><span class="kwb kwbu">ADEPTUS</span> <span class="kwb kwbu">CUSTODES</span></span> model only. The bearer has a Leadership characteristic of 5+. Once per battle, at the start of any phase, you can select one friendly <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit that is <span class="tooltip00036" data-tooltip-content="#tooltip_content00036"><span class="tt kwbu">Battle-shocked</span></span> and within 12" of the bearer; that unit is no longer Battle-shocked.|
